SampleID	Stage	Reads
1K_Positive_Control_8073801533_10_S453	Input	396664
1K_Positive_Control_8073801533_10_S453	No Dimers	395878
1K_Positive_Control_8073801533_10_S453	Amplicons	368265
1K_Positive_Control_8073801533_10_S453	OutputDada2	340725
1K_Positive_Control_8073801533_10_S453	OutputPostprocessing	339018
1K_Positive_Control_8073801533_11_S510	Input	182237
1K_Positive_Control_8073801533_11_S510	No Dimers	180725
1K_Positive_Control_8073801533_11_S510	Amplicons	168023
1K_Positive_Control_8073801533_11_S510	OutputDada2	155331
1K_Positive_Control_8073801533_11_S510	OutputPostprocessing	154196
1K_Positive_Control_8073801533_12_S551	Input	301804
1K_Positive_Control_8073801533_12_S551	No Dimers	299999
1K_Positive_Control_8073801533_12_S551	Amplicons	278369
1K_Positive_Control_8073801533_12_S551	OutputDada2	257226
1K_Positive_Control_8073801533_12_S551	OutputPostprocessing	255182
1K_Positive_Control_8073801533_1_S35	Input	241048
1K_Positive_Control_8073801533_1_S35	No Dimers	239926
1K_Positive_Control_8073801533_1_S35	Amplicons	222526
1K_Positive_Control_8073801533_1_S35	OutputDada2	205956
1K_Positive_Control_8073801533_1_S35	OutputPostprocessing	204000
1K_Positive_Control_8073801533_2_S74	Input	232456
1K_Positive_Control_8073801533_2_S74	No Dimers	231717
1K_Positive_Control_8073801533_2_S74	Amplicons	214722
1K_Positive_Control_8073801533_2_S74	OutputDada2	198647
1K_Positive_Control_8073801533_2_S74	OutputPostprocessing	196631
1K_Positive_Control_8073801533_3_S130	Input	412256
1K_Positive_Control_8073801533_3_S130	No Dimers	409893
1K_Positive_Control_8073801533_3_S130	Amplicons	382015
1K_Positive_Control_8073801533_3_S130	OutputDada2	354946
1K_Positive_Control_8073801533_3_S130	OutputPostprocessing	353300
1K_Positive_Control_8073801533_4_S171	Input	32141
1K_Positive_Control_8073801533_4_S171	No Dimers	31602
1K_Positive_Control_8073801533_4_S171	Amplicons	29661
1K_Positive_Control_8073801533_4_S171	OutputDada2	27426
1K_Positive_Control_8073801533_4_S171	OutputPostprocessing	27390
1K_Positive_Control_8073801533_5_S221	Input	369779
1K_Positive_Control_8073801533_5_S221	No Dimers	369329
1K_Positive_Control_8073801533_5_S221	Amplicons	343054
1K_Positive_Control_8073801533_5_S221	OutputDada2	317223
1K_Positive_Control_8073801533_5_S221	OutputPostprocessing	313844
1K_Positive_Control_8073801533_6_S260	Input	371196
1K_Positive_Control_8073801533_6_S260	No Dimers	370636
1K_Positive_Control_8073801533_6_S260	Amplicons	344703
1K_Positive_Control_8073801533_6_S260	OutputDada2	319356
1K_Positive_Control_8073801533_6_S260	OutputPostprocessing	317438
1K_Positive_Control_8073801533_7_S314	Input	154790
1K_Positive_Control_8073801533_7_S314	No Dimers	154403
1K_Positive_Control_8073801533_7_S314	Amplicons	143651
1K_Positive_Control_8073801533_7_S314	OutputDada2	132876
1K_Positive_Control_8073801533_7_S314	OutputPostprocessing	131609
1K_Positive_Control_8073801533_8_S354	Input	260723
1K_Positive_Control_8073801533_8_S354	No Dimers	260081
1K_Positive_Control_8073801533_8_S354	Amplicons	240872
1K_Positive_Control_8073801533_8_S354	OutputDada2	223328
1K_Positive_Control_8073801533_8_S354	OutputPostprocessing	220562
1K_Positive_Control_8073801533_9_S410	Input	258717
1K_Positive_Control_8073801533_9_S410	No Dimers	257278
1K_Positive_Control_8073801533_9_S410	Amplicons	239026
1K_Positive_Control_8073801533_9_S410	OutputDada2	221108
1K_Positive_Control_8073801533_9_S410	OutputPostprocessing	219306
A1040-5_S581	Input	545031
A1040-5_S581	No Dimers	531759
A1040-5_S581	Amplicons	493357
A1040-5_S581	OutputDada2	456475
A1040-5_S581	OutputPostprocessing	450489
IM-24-030-ABGU_S86	Input	231278
IM-24-030-ABGU_S86	No Dimers	229383
IM-24-030-ABGU_S86	Amplicons	213390
IM-24-030-ABGU_S86	OutputDada2	197380
IM-24-030-ABGU_S86	OutputPostprocessing	196023
IM-24-030-ADNG_S183	Input	258425
IM-24-030-ADNG_S183	No Dimers	257744
IM-24-030-ADNG_S183	Amplicons	239336
IM-24-030-ADNG_S183	OutputDada2	221931
IM-24-030-ADNG_S183	OutputPostprocessing	220154
IM-24-030-AVXN_S76	Input	187049
IM-24-030-AVXN_S76	No Dimers	186237
IM-24-030-AVXN_S76	Amplicons	173414
IM-24-030-AVXN_S76	OutputDada2	160614
IM-24-030-AVXN_S76	OutputPostprocessing	159286
IM-24-030-BJHK_S468	Input	330125
IM-24-030-BJHK_S468	No Dimers	329841
IM-24-030-BJHK_S468	Amplicons	304544
IM-24-030-BJHK_S468	OutputDada2	281975
IM-24-030-BJHK_S468	OutputPostprocessing	280057
IM-24-030-BSQU_S168	Input	480408
IM-24-030-BSQU_S168	No Dimers	477767
IM-24-030-BSQU_S168	Amplicons	443149
IM-24-030-BSQU_S168	OutputDada2	407719
IM-24-030-BSQU_S168	OutputPostprocessing	404888
IM-24-030-BURQ_S96	Input	413617
IM-24-030-BURQ_S96	No Dimers	412612
IM-24-030-BURQ_S96	Amplicons	382426
IM-24-030-BURQ_S96	OutputDada2	353933
IM-24-030-BURQ_S96	OutputPostprocessing	349720
IM-24-030-BWCN_S173	Input	2850
IM-24-030-BWCN_S173	No Dimers	2743
IM-24-030-BWCN_S173	Amplicons	2578
IM-24-030-BWCN_S173	OutputDada2	2372
IM-24-030-BWCN_S173	OutputPostprocessing	2368
IM-24-030-DQDR_S466	Input	263245
IM-24-030-DQDR_S466	No Dimers	262985
IM-24-030-DQDR_S466	Amplicons	243587
IM-24-030-DQDR_S466	OutputDada2	225491
IM-24-030-DQDR_S466	OutputPostprocessing	224000
IM-24-030-DQQV_S179	Input	116210
IM-24-030-DQQV_S179	No Dimers	115148
IM-24-030-DQQV_S179	Amplicons	107401
IM-24-030-DQQV_S179	OutputDada2	99561
IM-24-030-DQQV_S179	OutputPostprocessing	99110
IM-24-030-DUJD_S461	Input	267774
IM-24-030-DUJD_S461	No Dimers	267543
IM-24-030-DUJD_S461	Amplicons	247034
IM-24-030-DUJD_S461	OutputDada2	228605
IM-24-030-DUJD_S461	OutputPostprocessing	227310
IM-24-030-DULD_S94	Input	241847
IM-24-030-DULD_S94	No Dimers	240798
IM-24-030-DULD_S94	Amplicons	223692
IM-24-030-DULD_S94	OutputDada2	207098
IM-24-030-DULD_S94	OutputPostprocessing	205681
IM-24-030-DUWY_S181	Input	93962
IM-24-030-DUWY_S181	No Dimers	93204
IM-24-030-DUWY_S181	Amplicons	87063
IM-24-030-DUWY_S181	OutputDada2	80671
IM-24-030-DUWY_S181	OutputPostprocessing	80422
IM-24-030-DWJM_S185	Input	489641
IM-24-030-DWJM_S185	No Dimers	487241
IM-24-030-DWJM_S185	Amplicons	450793
IM-24-030-DWJM_S185	OutputDada2	416687
IM-24-030-DWJM_S185	OutputPostprocessing	413357
IM-24-030-DWYH_S164	Input	308423
IM-24-030-DWYH_S164	No Dimers	307213
IM-24-030-DWYH_S164	Amplicons	286260
IM-24-030-DWYH_S164	OutputDada2	265682
IM-24-030-DWYH_S164	OutputPostprocessing	264413
IM-24-030-FCCF_S95	Input	210262
IM-24-030-FCCF_S95	No Dimers	209867
IM-24-030-FCCF_S95	Amplicons	194717
IM-24-030-FCCF_S95	OutputDada2	180338
IM-24-030-FCCF_S95	OutputPostprocessing	178713
IM-24-030-FTFR_S84	Input	185681
IM-24-030-FTFR_S84	No Dimers	184480
IM-24-030-FTFR_S84	Amplicons	171709
IM-24-030-FTFR_S84	OutputDada2	158883
IM-24-030-FTFR_S84	OutputPostprocessing	158201
IM-24-030-FYMV_S176	Input	68976
IM-24-030-FYMV_S176	No Dimers	66871
IM-24-030-FYMV_S176	Amplicons	62129
IM-24-030-FYMV_S176	OutputDada2	57376
IM-24-030-FYMV_S176	OutputPostprocessing	56868
IM-24-030-GRDR_S67	Input	233254
IM-24-030-GRDR_S67	No Dimers	232060
IM-24-030-GRDR_S67	Amplicons	216142
IM-24-030-GRDR_S67	OutputDada2	198819
IM-24-030-GRDR_S67	OutputPostprocessing	197871
IM-24-030-GVDY_S187	Input	418051
IM-24-030-GVDY_S187	No Dimers	415637
IM-24-030-GVDY_S187	Amplicons	385081
IM-24-030-GVDY_S187	OutputDada2	356143
IM-24-030-GVDY_S187	OutputPostprocessing	354515
IM-24-030-GXFN_S169	Input	194665
IM-24-030-GXFN_S169	No Dimers	193451
IM-24-030-GXFN_S169	Amplicons	180202
