SampleID	Stage	Reads
1K-Positive-Control-8073801003-1_S35_L001	Input	136507
1K-Positive-Control-8073801003-1_S35_L001	No Dimers	135837
1K-Positive-Control-8073801003-1_S35_L001	Amplicons	125805
1K-Positive-Control-8073801003-1_S35_L001	OutputDada2	125013
1K-Positive-Control-8073801003-1_S35_L001	OutputPostprocessing	123827
1K-Positive-Control-8073801003-2_S74_L001	Input	149080
1K-Positive-Control-8073801003-2_S74_L001	No Dimers	148588
1K-Positive-Control-8073801003-2_S74_L001	Amplicons	137161
1K-Positive-Control-8073801003-2_S74_L001	OutputDada2	136362
1K-Positive-Control-8073801003-2_S74_L001	OutputPostprocessing	135071
A1040-5_S101_L001	Input	155850
A1040-5_S101_L001	No Dimers	151679
A1040-5_S101_L001	Amplicons	141102
A1040-5_S101_L001	OutputDada2	140389
A1040-5_S101_L001	OutputPostprocessing	138755
IM-24-030-ABGU_S86_L001	Input	137970
IM-24-030-ABGU_S86_L001	No Dimers	136774
IM-24-030-ABGU_S86_L001	Amplicons	126925
IM-24-030-ABGU_S86_L001	OutputDada2	126142
IM-24-030-ABGU_S86_L001	OutputPostprocessing	125293
IM-24-030-AVXN_S76_L001	Input	118434
IM-24-030-AVXN_S76_L001	No Dimers	117854
IM-24-030-AVXN_S76_L001	Amplicons	109680
IM-24-030-AVXN_S76_L001	OutputDada2	109076
IM-24-030-AVXN_S76_L001	OutputPostprocessing	108379
IM-24-030-BURQ_S96_L001	Input	238199
IM-24-030-BURQ_S96_L001	No Dimers	237594
IM-24-030-BURQ_S96_L001	Amplicons	220012
IM-24-030-BURQ_S96_L001	OutputDada2	218634
IM-24-030-BURQ_S96_L001	OutputPostprocessing	216102
IM-24-030-DULD_S94_L001	Input	152261
IM-24-030-DULD_S94_L001	No Dimers	151528
IM-24-030-DULD_S94_L001	Amplicons	140759
IM-24-030-DULD_S94_L001	OutputDada2	139907
IM-24-030-DULD_S94_L001	OutputPostprocessing	138916
IM-24-030-FCCF_S95_L001	Input	120541
IM-24-030-FCCF_S95_L001	No Dimers	120256
IM-24-030-FCCF_S95_L001	Amplicons	111396
IM-24-030-FCCF_S95_L001	OutputDada2	110518
IM-24-030-FCCF_S95_L001	OutputPostprocessing	109599
IM-24-030-FTFR_S84_L001	Input	144431
IM-24-030-FTFR_S84_L001	No Dimers	143431
IM-24-030-FTFR_S84_L001	Amplicons	133780
IM-24-030-FTFR_S84_L001	OutputDada2	132944
IM-24-030-FTFR_S84_L001	OutputPostprocessing	132354
IM-24-030-GRDR_S67_L001	Input	165187
IM-24-030-GRDR_S67_L001	No Dimers	164283
IM-24-030-GRDR_S67_L001	Amplicons	153185
IM-24-030-GRDR_S67_L001	OutputDada2	152361
IM-24-030-GRDR_S67_L001	OutputPostprocessing	151661
IM-24-030-GYPL_S73_L001	Input	201140
IM-24-030-GYPL_S73_L001	No Dimers	200252
IM-24-030-GYPL_S73_L001	Amplicons	185978
IM-24-030-GYPL_S73_L001	OutputDada2	183700
IM-24-030-GYPL_S73_L001	OutputPostprocessing	182927
IM-24-030-HLUN_S83_L001	Input	122059
IM-24-030-HLUN_S83_L001	No Dimers	121286
IM-24-030-HLUN_S83_L001	Amplicons	113032
IM-24-030-HLUN_S83_L001	OutputDada2	111958
IM-24-030-HLUN_S83_L001	OutputPostprocessing	111439
IM-24-030-JFQD_S85_L001	Input	87608
IM-24-030-JFQD_S85_L001	No Dimers	86884
IM-24-030-JFQD_S85_L001	Amplicons	80959
IM-24-030-JFQD_S85_L001	OutputDada2	80500
IM-24-030-JFQD_S85_L001	OutputPostprocessing	80072
IM-24-030-JRHV_S93_L001	Input	89954
IM-24-030-JRHV_S93_L001	No Dimers	89810
IM-24-030-JRHV_S93_L001	Amplicons	83838
IM-24-030-JRHV_S93_L001	OutputDada2	83391
IM-24-030-JRHV_S93_L001	OutputPostprocessing	82677
IM-24-030-JUAL_S72_L001	Input	216641
IM-24-030-JUAL_S72_L001	No Dimers	215783
IM-24-030-JUAL_S72_L001	Amplicons	201128
IM-24-030-JUAL_S72_L001	OutputDada2	198609
IM-24-030-JUAL_S72_L001	OutputPostprocessing	196624
IM-24-030-KGWA_S71_L001	Input	191582
IM-24-030-KGWA_S71_L001	No Dimers	190364
IM-24-030-KGWA_S71_L001	Amplicons	176790
IM-24-030-KGWA_S71_L001	OutputDada2	175724
IM-24-030-KGWA_S71_L001	OutputPostprocessing	174518
IM-24-030-LPHV_S79_L001	Input	153543
IM-24-030-LPHV_S79_L001	No Dimers	152374
IM-24-030-LPHV_S79_L001	Amplicons	141269
IM-24-030-LPHV_S79_L001	OutputDada2	140368
IM-24-030-LPHV_S79_L001	OutputPostprocessing	139271
IM-24-030-LQWB_S78_L001	Input	126177
IM-24-030-LQWB_S78_L001	No Dimers	124416
IM-24-030-LQWB_S78_L001	Amplicons	115713
IM-24-030-LQWB_S78_L001	OutputDada2	114873
IM-24-030-LQWB_S78_L001	OutputPostprocessing	113834
IM-24-030-MJGZ_S90_L001	Input	86410
IM-24-030-MJGZ_S90_L001	No Dimers	86177
IM-24-030-MJGZ_S90_L001	Amplicons	80607
IM-24-030-MJGZ_S90_L001	OutputDada2	80174
IM-24-030-MJGZ_S90_L001	OutputPostprocessing	79613
IM-24-030-PJRQ_S89_L001	Input	200732
IM-24-030-PJRQ_S89_L001	No Dimers	200385
IM-24-030-PJRQ_S89_L001	Amplicons	186365
IM-24-030-PJRQ_S89_L001	OutputDada2	185037
IM-24-030-PJRQ_S89_L001	OutputPostprocessing	184349
IM-24-030-PZXL_S81_L001	Input	203100
IM-24-030-PZXL_S81_L001	No Dimers	201714
IM-24-030-PZXL_S81_L001	Amplicons	186897
IM-24-030-PZXL_S81_L001	OutputDada2	185817
IM-24-030-PZXL_S81_L001	OutputPostprocessing	184437
IM-24-030-QCFP_S68_L001	Input	1
IM-24-030-QCFP_S68_L001	No Dimers	1
IM-24-030-QCFP_S68_L001	Amplicons	1
IM-24-030-QCFP_S68_L001	OutputDada2	1
IM-24-030-QCFP_S68_L001	OutputPostprocessing	1
IM-24-030-RGPV_S91_L001	Input	149924
IM-24-030-RGPV_S91_L001	No Dimers	149734
IM-24-030-RGPV_S91_L001	Amplicons	139714
